time(s);Qout(m3/s);Qin(m3/s);Qbnd,surf 1(m3/s);Qbnd,sub 1(m3/s)
 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000; 0.0000000000E+000
 0.5001723165E+002; 0.4769200138E+003; 0.7200000000E+003; 0.4769200138E+003; 0.0000000000E+000
 0.1000272750E+003; 0.1477832870E+004; 0.7200000000E+003; 0.1477832870E+004; 0.0000000000E+000
 0.1500158277E+003; 0.8716722989E+003; 0.7200000000E+003; 0.8716722989E+003; 0.0000000000E+000
 0.2000158221E+003; 0.5304974206E+003; 0.8186328922E+003; 0.4318645284E+003; 0.0000000000E+000
 0.2500298511E+003; 0.6313573577E+003; 0.9595594539E+003; 0.3917979038E+003; 0.0000000000E+000
 0.3000134398E+003; 0.8639653641E+003; 0.7956373486E+003; 0.7883280155E+003; 0.0000000000E+000
 0.3500155631E+003; 0.9450694968E+003; 0.7200000000E+003; 0.9450694968E+003; 0.0000000000E+000
 0.4000003388E+003; 0.7623848707E+003; 0.7200000000E+003; 0.7623848707E+003; 0.0000000000E+000
 0.4500278509E+003; 0.6551122006E+003; 0.7474418879E+003; 0.6276703127E+003; 0.0000000000E+000
 0.5000294392E+003; 0.6995845681E+003; 0.7585576910E+003; 0.6610268770E+003; 0.0000000000E+000
 0.5500196251E+003; 0.7710860724E+003; 0.7307313247E+003; 0.7603547478E+003; 0.0000000000E+000
 0.6000030525E+003; 0.7657244149E+003; 0.7230697786E+003; 0.7626546363E+003; 0.0000000000E+000
 0.6500087329E+003; 0.7210636295E+003; 0.7308255809E+003; 0.7102380486E+003; 0.0000000000E+000
 0.7000245805E+003; 0.7125066201E+003; 0.7394886034E+003; 0.6930180167E+003; 0.0000000000E+000
 0.7500151464E+003; 0.7336803261E+003; 0.7360602711E+003; 0.7176200550E+003; 0.0000000000E+000
 0.8000318986E+003; 0.7445384952E+003; 0.7292886784E+003; 0.7352498168E+003; 0.0000000000E+000
 0.8500148130E+003; 0.7351340405E+003; 0.7294619977E+003; 0.7256720428E+003; 0.0000000000E+000
 0.9000199426E+003; 0.7257138479E+003; 0.7328949909E+003; 0.7128188570E+003; 0.0000000000E+000
 0.9500197285E+003; 0.7283332974E+003; 0.7335937820E+003; 0.7147395154E+003; 0.0000000000E+000
 0.1000019942E+004; 0.7342233124E+003; 0.7314021499E+003; 0.7228211625E+003; 0.0000000000E+000
 0.1050007325E+004; 0.7341745505E+003; 0.7301771548E+003; 0.7239973957E+003; 0.0000000000E+000
 0.1100001760E+004; 0.7303855074E+003; 0.7309479231E+003; 0.7194375843E+003; 0.0000000000E+000
 0.1150024745E+004; 0.7291945265E+003; 0.7316891215E+003; 0.7175054050E+003; 0.0000000000E+000
 0.1200019437E+004; 0.7309745972E+003; 0.7312504812E+003; 0.7197241161E+003; 0.0000000000E+000
 0.1250030035E+004; 0.7319865576E+003; 0.7305364590E+003; 0.7214500985E+003; 0.0000000000E+000
 0.1300001966E+004; 0.7310616011E+003; 0.7304748656E+003; 0.7205867355E+003; 0.0000000000E+000
 0.1350014181E+004; 0.7300779186E+003; 0.7307728098E+003; 0.7193051088E+003; 0.0000000000E+000
 0.1400000372E+004; 0.7302722451E+003; 0.7307843656E+003; 0.7194878795E+003; 0.0000000000E+000
 0.1450015374E+004; 0.7308276948E+003; 0.7305179327E+003; 0.7203097620E+003; 0.0000000000E+000
 0.1500025968E+004; 0.7307655844E+003; 0.7303635724E+003; 0.7204020120E+003; 0.0000000000E+000
 0.1550005271E+004; 0.7303473515E+003; 0.7304135539E+003; 0.7199337976E+003; 0.0000000000E+000
 0.1600019582E+004; 0.7302125789E+003; 0.7304563469E+003; 0.7197562320E+003; 0.0000000000E+000
 0.1650002026E+004; 0.7303708904E+003; 0.7303825266E+003; 0.7199883638E+003; 0.0000000000E+000
 0.1700014947E+004; 0.7304409402E+003; 0.7302885614E+003; 0.7201523787E+003; 0.0000000000E+000
 0.1750027299E+004; 0.7303198716E+003; 0.7302642588E+003; 0.7200556129E+003; 0.0000000000E+000
 0.1800008397E+004; 0.7302023139E+003; 0.7302750981E+003; 0.7199272158E+003; 0.0000000000E+000
 0.1850022155E+004; 0.7302112099E+003; 0.7302560200E+003; 0.7199551899E+003; 0.0000000000E+000
 0.1900003438E+004; 0.7302497049E+003; 0.7302120105E+003; 0.7200376944E+003; 0.0000000000E+000
 0.1950016428E+004; 0.7302240383E+003; 0.7301827234E+003; 0.7200413149E+003; 0.0000000000E+000
 0.2000029541E+004; 0.7301675075E+003; 0.7301743743E+003; 0.7199931332E+003; 0.0000000000E+000
